userId,planetNo,attemptNo,incurredCost_UFCE,budgetLeft_UFCE,newPred_UFCE,incurredCost_DiCE,budgetLeft_DiCE,newPred_DiCE
59d876bb3c4a4739ada2f1fa55f29e00,1,1,29,61,1,29,61,1
59d876bb3c4a4739ada2f1fa55f29e00,2,1,47,14,1,47,14,1
59d876bb3c4a4739ada2f1fa55f29e00,3,1,0,14,0,35,-21,0
59d876bb3c4a4739ada2f1fa55f29e00,3,2,12,78,1,35,55,1
aaae9b60ec0941fa9cb80caa55ab0b78,1,1,29,61,1,29,61,1
aaae9b60ec0941fa9cb80caa55ab0b78,2,1,37,24,1,47,14,1
d482a28165234201acf8b943bb0505a3,1,1,29,61,1,29,61,1
fa58848e0ec9443697f10ac607ee628c,1,1,29,61,1,29,61,1
fa58848e0ec9443697f10ac607ee628c,2,1,32,29,1,47,14,1
fa58848e0ec9443697f10ac607ee628c,3,1,12,17,1,35,-21,1
